-------------------------------------------
Nodi e transizioni mantenuti
-------------------------------------------
id | indice di osservazione 
0 	0
25 	1
26 	1
27 	2
28 	2
29 	2
30 	2
1 	2
23 	2
24 	2
10 	2
6 	2
7 	2
8 	2
9 	2
31 	2
32 	2
39 	2
34 	1
35 	1
5 	1
6 	2
17 	1
7 	2
18 	1
19 	1
9 	2
8 	2
29 	2
36 	1
31 	2
37 	1
32 	2
28 	2
38 	1
39 	2
2 	1
3 	1
4 	1
11 	1
12 	1
13 	1
14 	1
20 	1
21 	1
22 	1
33 	1
41 	1

--- Transizioni ---
 id sorgente | etichetta | id destinazione | et. oss. | indice oss. | et. ril.
0	   t2a	      25 	         o1 	              1 	        -
25	   t1a	      26 	         - 	              1 	        -
26	   t2b	      27 	         o2 	              2 	        -
27	   t3a	      28 	         - 	              2 	        -
28	   t1b	      29 	         - 	              2 	        -
29	   t1a	      30 	         - 	              2 	        -
30	   t3b	      1 	         - 	              2 	        -
1	   t3a	      23 	         - 	              2 	        -
23	   t1b	      24 	         - 	              2 	        -
24	   t1c	      10 	         - 	              2 	        f1
30	   t3c	      10 	         - 	              2 	        f3
29	   t1c	      6 	         - 	              2 	        f1
6	   t3b	      7 	         - 	              2 	        -
7	   t3a	      8 	         - 	              2 	        -
8	   t1b	      9 	         - 	              2 	        -
9	   t1a	      10 	         - 	              2 	        -
29	   t3b	      31 	         - 	              2 	        -
31	   t1a	      1 	         - 	              2 	        -
31	   t1c	      7 	         - 	              2 	        f1
31	   t3a	      32 	         - 	              2 	        -
32	   t1a	      23 	         - 	              2 	        -
32	   t1c	      8 	         - 	              2 	        f1
29	   t3c	      9 	         - 	              2 	        f3
28	   t3b	      39 	         - 	              2 	        -
39	   t1b	      31 	         - 	              2 	        -
28	   t3c	      8 	         - 	              2 	        f3
26	   t3a	      34 	         - 	              1 	        -
34	   t1b	      35 	         - 	              1 	        -
35	   t1c	      5 	         - 	              1 	        f1
5	   t2b	      6 	         o2 	              2 	        -
5	   t3b	      17 	         - 	              1 	        -
17	   t2b	      7 	         o2 	              2 	        -
17	   t3a	      18 	         - 	              1 	        -
18	   t1b	      19 	         - 	              1 	        -
19	   t2b	      9 	         o2 	              2 	        -
18	   t2b	      8 	         o2 	              2 	        -
35	   t2b	      29 	         o2 	              2 	        -
35	   t3b	      36 	         - 	              1 	        -
36	   t1c	      17 	         - 	              1 	        f1
36	   t2b	      31 	         o2 	              2 	        -
36	   t3a	      37 	         - 	              1 	        -
37	   t1c	      18 	         - 	              1 	        f1
37	   t2b	      32 	         o2 	              2 	        -
35	   t3c	      19 	         - 	              1 	        f3
34	   t2b	      28 	         o2 	              2 	        -
34	   t3b	      38 	         - 	              1 	        -
38	   t1b	      36 	         - 	              1 	        -
38	   t2b	      39 	         o2 	              2 	        -
34	   t3c	      18 	         - 	              1 	        f3
25	   t1c	      2 	         - 	              1 	        f1
2	   t3a	      3 	         - 	              1 	        -
3	   t1b	      4 	         - 	              1 	        -
4	   t1a	      5 	         - 	              1 	        -
4	   t1c	      11 	         - 	              1 	        f1
11	   t3b	      12 	         - 	              1 	        -
12	   t3a	      13 	         - 	              1 	        -
13	   t1b	      14 	         - 	              1 	        -
14	   t1c	      17 	         - 	              1 	        f1
11	   t3c	      17 	         - 	              1 	        f3
4	   t3b	      20 	         - 	              1 	        -
20	   t1a	      17 	         - 	              1 	        -
20	   t1c	      12 	         - 	              1 	        f1
20	   t3a	      21 	         - 	              1 	        -
21	   t1a	      18 	         - 	              1 	        -
21	   t1c	      13 	         - 	              1 	        f1
4	   t3c	      14 	         - 	              1 	        f3
3	   t3b	      22 	         - 	              1 	        -
22	   t1b	      20 	         - 	              1 	        -
3	   t3c	      13 	         - 	              1 	        f3
25	   t3a	      33 	         - 	              1 	        -
33	   t1a	      34 	         - 	              1 	        -
33	   t1c	      3 	         - 	              1 	        f1
33	   t3b	      41 	         - 	              1 	        -
41	   t1a	      38 	         - 	              1 	        -
41	   t1c	      22 	         - 	              1 	        f1
33	   t3c	      21 	         - 	              1 	        f3

----------------------------
Nodi e transizioni tagliate
----------------------------
id | indice di osservazione 
16 	2
15 	1
16 	2

--- Transizioni ---
 id sorgente | etichetta | id destinazione | et. oss. | indice oss. | et. ril.
9	   t1c	      16 	         - 	              2 	        f1
6	   t3c	      16 	         - 	              2 	        f3
19	   t1c	      15 	         - 	              1 	        f1
15	   t2b	      16 	         o2 	              2 	        -
5	   t3c	      15 	         - 	              1 	        f3
14	   t1a	      15 	         - 	              1 	        -
